"cityId","cityName_CN","cityName_EN","Lon","Lat","Regis_pop","Res_pop","GDP","Employ_pct","Patent","SM_degree","Mob_degree","Pub_degree"
310100,"上海","Shanghai",121.42,31.1878,14500000,24161000,2.817865e+12,5.896,72327,175620430,5273600,16132
110100,"北京","Beijing",116.41,40.185,13630000,21729000,2.566913e+12,13.912,106499,414486000,6160691,35119
440300,"深圳","Shenzhen",114.134,22.6584,3850000,11908400,1949260120000,9.955,93805,69313006,4576108,5100
440100,"广州","Guangzhou",113.535,23.3558,8700000,17595000,1954744200000,4.425,60014,131973298,4585168,10689
320100,"南京","Nanjing",118.842,31.9302,6630000,7031000,1.050302e+12,4.041,32080,32621058,2351384,13525
120100,"天津","Tianjin",117.319,39.3083,10440000,13604000,1.788539e+12,3.098,41459,27533210,1947827,6577
441900,"东莞","Dongguan",113.878,22.9374,2010000,6287000,682768680000,2.671,45007,21818406,2374182,558
330100,"杭州","Hangzhou",119.463,29.8983,5450000,9e+06,983548450000,6.522,42113,47947248,3110978,7874
320500,"苏州","Suzhou(JS)",120.641,31.3761,3480000,4509000,8.00845e+11,2.526,52962,19113557,2539954,4189
350200,"厦门","Xiamen",118.111,24.6853,2210000,5201000,378426620000,3.736,14643,20843306,1336198,2326
610100,"西安","Xi'an",108.791,34.1087,6290000,6485400,5.52766e+11,4.514,25242,21639887,2485651,7763
440600,"佛山","Foshan",112.944,23.0124,4e+06,6542000,863000020000,1.423,36541,24744487,1640870,477
370100,"济南","Jinan",117.092,36.7358,4730000,4815000,581665050000,4.419,17281,13377359,1270635,5167
370200,"青岛","Qingdao",120.144,36.46,3790000,5258000,6.50596e+11,2.311,23815,14192760,1137396,4580
340100,"合肥","Hefei",117.26,31.9599,2590000,4555000,419169630000,4.108,21232,12873651,1696365,5629
320400,"常州","Changzhou",119.634,31.6292,2950000,3519000,4.98566e+11,1.348,16344,5720910,870262,1087
410100,"郑州","Zhengzhou",113.472,34.626,3540000,7483000,460970770000,5.112,21153,20458679,2392617,3727
320200,"无锡","Wuxi",120.076,31.5256,2530000,2971000,4.74902e+11,2.698,28764,10176111,1162745,1517
530100,"昆明","Kunming",102.873,25.3897,2820000,4434000,333614250000,3.237,8179,10411706,1527423,2309
330200,"宁波","Ningbo",121.472,29.7063,2360000,4688000,557466040000,4.298,36807,17390124,1519904,1859
330300,"温州","Wenzhou",120.432,27.9027,1680000,2250000,205471550000,3.708,29385,16090698,1322744,1117
350100,"福州","Fuzhou(FJ)",119.172,26.0552,2030000,2754000,314428150000,4.553,11472,18579612,1111994,2146
230100,"哈尔滨","Harbin",127.955,45.6359,5510000,6202000,447268750000,2.508,12075,11580132,1339509,4232
442000,"中山","Zhongshan",113.378,22.5201,1610000,2963000,320277800000,1.603,27364,11135136,938250,136
430100,"长沙","Changsha",113.151,28.228,3280000,4116400,586719520000,4.074,17005,22721414,1836120,6273
140100,"太原","Taiyuan",112.315,37.9596,2870000,3870000,275493770000,3.09,5487,7323398,913792,2937
650100,"乌鲁木齐","Urumqi",87.7887,43.4601,2620000,3123000,2.43808e+11,2.24,3438,5634125,533020,1488
321000,"扬州","Yangzhou",119.471,32.7386,2320000,2533000,2.9003e+11,1.306,14177,3756977,514943,861
330600,"绍兴","Shaoxing",120.629,29.7151,2200000,3381000,280184210000,1.521,25627,4385683,719190,344
450100,"南宁","Nanning",108.464,23.0583,3700000,5398000,278150940000,2.512,4483,8389812,1600230,2245
320600,"南通","Nantong",120.984,32.1948,2140000,2764000,2.47503e+11,1.97,18914,4617964,500535,623
441300,"惠州","Huizhou",114.497,23.2444,1500000,2632000,208420550000,2.738,11666,9782990,1097716,87
460100,"海口","Haikou",110.424,19.8267,1670000,2622000,125766530000,3.437,1508,6562105,561972,884
620100,"兰州","Lanzhou",103.652,36.354,2060000,2688000,188224890000,3.371,4223,5165524,928959,3942
320300,"徐州","Xuzhou",117.512,34.3598,3380000,3287000,3.07218e+11,0.841,10486,4718965,841013,1672
370600,"烟台","Yantai",120.806,37.2445,1880000,2208000,294772240000,1.893,6116,4089506,596374,992
150200,"包头","Baotou",110.256,41.5541,1560000,2852000,348505710000,1.735,1449,1836832,265123,255
321200,"泰州","Taizhou(JS)",120.056,32.5702,1640000,1816000,1.71827e+11,1.254,9796,2148618,399540,231
320800,"淮安","Huai'an",118.963,33.3567,3360000,3676000,2.06233e+11,0.776,7304,1611932,419113,530
130400,"邯郸","Handan",114.544,36.5503,3810000,3557000,136636950000,1.04,2426,2520649,594310,255
440400,"珠海","Zhuhai",113.366,22.1707,1150000,2250000,222637080000,4.57,12530,8912130,1040242,388
450200,"柳州","Liuzhou",109.37,24.9467,1210000,1749000,179834900000,1.78,2689,2832871,551371,154
350300,"莆田","Putian",118.882,25.4567,2350000,2743000,148411260000,0.692,1826,2577653,273494,39
320900,"盐城","Yancheng",120.156,33.5268,2430000,2682000,1.88464e+11,1.169,9986,2394874,414072,492
370300,"淄博","Zibo",118.055,36.6098,2880000,3083000,340413150000,1.164,5142,2789317,405355,387
130200,"唐山","Tangshan",118.328,39.7423,3360000,3091000,332383360000,1.49,3647,3495028,559997,361
371300,"临沂","Linyi",118.28,35.3107,2670000,3198000,166273460000,1.141,4715,2853289,677911,426
350500,"泉州","Quanzhou",118.253,25.2041,1100000,3010000,149026970000,2.417,25452,11228191,944833,256
331000,"台州","Taizhou(ZJ)",121.097,28.78,1600000,1793000,141253460000,3.32,19011,5120481,727246,309
410300,"洛阳","Luoyang",112.029,34.2905,2050000,2606000,148851270000,2.877,5648,4013948,686897,830
420300,"十堰","Shiyan",110.441,32.459,1190000,1322000,93345670000,2.179,1606,1351028,291547,168
230600,"大庆","Daqing",124.7,46.3445,1370000,1690000,210084980000,5.777,1631,1888695,273057,350
440700,"江门","Jiangmen",112.672,22.2825,1420000,1872000,130340500000,1.648,8503,9264273,509538,127
420500,"宜昌","Yichang",111.136,30.7489,1270000,1279000,159301900000,1.738,4181,2666362,511877,298
320700,"连云港","Lianyungang",119.132,34.5335,2230000,2467000,1.30759e+11,1.236,6285,1885870,426162,291
430400,"衡阳","Hengyang",112.573,26.7931,1e+06,1217000,82427400000,2.099,2601,2044262,731474,1206
430200,"株洲","Zhuzhou",113.517,27.1199,1040000,1244000,117625260000,2.238,3711,2038523,606529,246
130600,"保定","Baoding",115.17,39.0219,2850000,3038000,114167850000,1.563,5422,3492991,893161,648
370900,"泰安","Tai'an",117.026,36.0015,1620000,1842000,1.00492e+11,2.026,3223,1816234,552156,677
340200,"芜湖","Wuhu",118.328,31.073,1480000,1806000,165977630000,1.49,8814,2619337,418751,459
321100,"镇江","Zhenjiang",119.455,32.0175,1030000,1231000,1.7116e+11,1.929,14741,2197031,497420,1438
430700,"常德","Changde",111.523,29.2987,1410000,1726000,147195300000,1.247,1540,1579067,397575,132
371000,"威海","Weihai",121.98,37.123,1340000,1700000,162286180000,1.365,3858,1961254,312991,533
321300,"宿迁","Suqian",118.519,33.7852,1760000,1803000,8.6043e+10,0.426,4354,1406813,331496,40
210800,"营口","Yingkou",122.468,40.3908,930000,1006000,73354290000,2.113,643,1166019,175578,17
220200,"吉林","Jilin",126.847,43.5813,1820000,1841000,144278150000,1.007,1170,2014883,414481,356
330400,"嘉兴","Jiaxing",120.754,30.6569,880000,1802000,97040770000,3.599,18120,6571181,794931,310
630100,"西宁","Xining",101.449,36.814,960000,1470000,96654910000,3.751,1176,1636590,424263,693
140200,"大同","Datong",113.719,39.9009,1580000,1654000,81867180000,1.184,841,1269879,265703,163
370500,"东营","Dongying",118.606,37.6184,1100000,1334000,242505100000,1.852,2894,1565348,223701,236
210300,"鞍山","Anshan",123.01,40.7151,1500000,1556000,73958130000,1.982,1871,2648121,209515,911
330500,"湖州","Huzhou",119.871,30.7463,1110000,1667000,101117360000,2.203,12022,2904449,464962,239
341200,"阜阳","Fuyang",115.701,32.9167,2260000,2302000,48535930000,1.037,2352,1375287,720120,85
421000,"荆州","Jingzhou",112.572,29.9955,1090000,1134000,5.6998e+10,1.275,2019,1886531,401832,328
420600,"襄阳","Xiangyang",111.937,31.9336,2260000,2198000,185881980000,1.27,2280,2109728,478080,142
430600,"岳阳","Yueyang",113.254,29.0652,1100000,1066000,126640620000,2.469,1725,1628127,504063,84
370400,"枣庄","Zaozhuang",117.393,34.9193,2420000,2480000,107782900000,0.468,2221,1478501,287501,82
211100,"盘锦","Panjin",122.018,41.1032,1030000,1035000,83681890000,1.555,656,1058353,141325,174
511300,"南充","Nanchong",106.205,31.1963,1950000,2219000,59281650000,0.973,966,1599881,624776,240
340600,"淮北","Huaibei",116.742,33.7295,1050000,1123000,54580640000,0.854,962,829419,166144,142
330700,"金华","Jinhua",119.952,29.1155,970000,1566000,69312630000,2.109,17317,5810899,1064232,465
370800,"济宁","Jining",116.734,35.3772,1850000,2050000,1.20958e+11,1.937,6709,2376887,593432,277
330900,"舟山","Zhoushan",122.192,30.0988,710000,834000,90816790000,2.254,1904,1657322,254501,326
411300,"南阳","Nanyang",112.283,33.0446,1890000,2612000,71664750000,1.441,3077,1765295,708022,270
420200,"黄石","Huangshi",115.023,29.9266,850000,872000,6.1662e+10,0.929,1381,1372753,279917,197
340500,"马鞍山","Maanshan",118.621,31.5345,830000,1017000,91025010000,2.079,3993,1232121,289544,282
410500,"安阳","Anyang",114.351,35.8779,1180000,1199000,55318600000,1.181,1498,1504610,520211,268
510500,"泸州","Luzhou",105.668,28.4398,1510000,1878000,77406990000,0.821,1413,1250674,477889,271
410700,"新乡","Xinxiang",114.091,35.2667,1070000,1159000,72010860000,1.277,4251,2122657,559366,1639
410900,"濮阳","Puyang",115.282,35.8089,720000,765000,38726700000,1.124,1111,1059661,313199,34
510300,"自贡","Zigong",104.683,29.2865,1500000,1634000,79060110000,0.951,1133,1107470,232990,291
430300,"湘潭","Xiangtan",112.603,27.7331,880000,914000,112324250000,2.501,2288,1787200,506763,833
420900,"孝感","Xiaogan",113.88,31.12,960000,985000,28773510000,1.285,2151,1115638,416959,87
441800,"清远","Qingyuan",112.874,24.3125,1420000,1733000,74238820000,1.024,1894,3826885,671091,29
410400,"平顶山","Pingdingshan",113.014,33.7948,1110000,1149000,51096280000,1.534,1708,1818537,359931,108
370700,"潍坊","Weifang",119.075,36.5381,1900000,1942000,158609540000,1.181,9863,3367921,713692,304
431000,"郴州","Chenzhou",113.135,25.812,780000,864000,65805640000,2.974,1126,1403143,446893,74
210500,"本溪","Benxi",124.565,41.2287,920000,965000,53195740000,1.631,401,835414,141727,43
360300,"萍乡","Pingxiang",113.9,27.516,890000,942000,61255290000,1.472,1850,989172,235564,30
410800,"焦作","Jiaozuo",112.897,35.1064,990000,1002000,47356370000,1.689,2928,1496743,301278,405
640100,"银川","Yinchuan",106.348,38.2294,1130000,1518000,97336710000,3.379,2084,3098687,420377,549
411100,"漯河","Luohe",113.903,33.6569,1350000,1391000,64763350000,0.512,1261,847507,284993,23
360700,"赣州","Ganzhou",115.271,25.7074,1570000,2839000,52079120000,1.35,5776,2572098,729634,421
411400,"商丘","Shangqiu",115.697,34.2908,1840000,1591000,43004550000,0.539,1692,1385877,731499,126
510400,"攀枝花","Panzhihua",101.731,26.8076,670000,822000,74552460000,2.517,1303,650017,117495,58
511400,"眉山","Meishan",103.749,29.9278,1220000,1276000,51632880000,0.456,713,835190,297234,9
371600,"滨州","Binzhou",117.828,37.5034,1080000,1255000,79275060000,1.148,2718,1196132,262302,242
330800,"衢州","Quzhou",118.675,28.9346,850000,980000,5.2847e+10,2.656,4808,1368470,648807,90
530400,"玉溪","Yuxi",102.2,24.1406,720000,913000,69264160000,1.202,995,857276,172233,36
130300,"秦皇岛","Qinhuangdao",119.181,40.0888,1460000,1694000,93400310000,2.103,2990,2203988,437483,662
350800,"龙岩","Longyan",116.739,25.2926,1030000,1014000,90686680000,2.243,3371,1978734,212277,73
450300,"桂林","Guilin",110.513,25.3551,1300000,1392000,84723930000,1.873,2408,3083594,801943,1812
220300,"四平","Siping",124.467,43.5695,580000,665000,21633950000,1.6,471,1032615,207956,144
340400,"淮南","Huainan",116.781,32.7144,1860000,1871000,59029120000,1.014,2292,1296275,206522,276
150400,"赤峰","Chifeng",118.893,43.2063,1260000,1525000,84784420000,1.153,452,1295198,207517,75
441700,"阳江","Yangjiang",111.774,22.0384,1210000,1294000,67110450000,0.623,2167,2713562,271933,9
445200,"揭阳","Jieyang",116.116,23.3386,2090000,2213000,92434370000,0.46,3876,5510226,343061,8
411000,"许昌","Xuchang",113.709,34.0727,1340000,1359000,66003880000,0.84,4586,1315189,375010,83
511500,"宜宾","Yibin",104.635,28.5715,1280000,1658000,6.659e+09,1.426,1627,1181306,412380,80
220700,"松原","Songyuan",124.478,44.7993,570000,630000,52066040000,1.452,261,780154,185929,30
610300,"宝鸡","Baoji",107.202,34.379,1420000,1487000,100377500000,1.084,2131,1351584,407259,182
150300,"乌海","Wuhai",106.892,39.4414,440000,652000,57222610000,1.481,137,715874,84095,7
371200,"莱芜","Laiwu",117.658,36.2761,1290000,1349000,7.0276e+10,0.396,1866,617262,110018,55
420700,"鄂州","Ezhou",114.755,30.328,1110000,1140000,7.9782e+10,0.768,421,572715,222308,6
460200,"三亚","Sanya",109.417,18.3912,580000,925000,47555670000,2.107,171,2716324,708753,165
430500,"邵阳","Shaoyang",110.874,26.9125,7e+05,810000,31224440000,2.773,1704,1113616,688359,60
131000,"廊坊","Langfang",116.627,39.261,860000,1028000,90312610000,3.377,3472,2056523,698047,235
450500,"北海","Beihai",109.331,21.6775,660000,738000,77427140000,1.521,408,1097920,314410,28
511700,"达州","Dazhou",107.646,31.3656,1810000,1893000,44806570000,0.813,1050,1137278,486690,54
371100,"日照","Rizhao",119.131,35.5862,1360000,1532000,1.28744e+11,0.621,1537,1430858,312242,245
411500,"信阳","Xinyang",114.881,32.0812,1550000,1578000,53615410000,0.786,1301,1356543,748233,189
350600,"漳州","Zhangzhou",117.44,24.3686,6e+05,729000,71679380000,2.732,4871,3170082,411167,95
210900,"阜新","Fuxin",121.955,42.2785,760000,772000,20229410000,1.597,465,754613,125679,61
440200,"韶关","Shaoguan",113.772,24.8187,920000,755000,57934530000,1.369,1484,3728013,543130,67
